,username,status
@,BaltimoreBStore,"RT @Sharon_Paley: ""Build a good world one word at a time."" - @EvodieNgoy #createbmore"
@,RDFoxworth,Missed good talk re #socent &amp; churches as social hubs at #createbmore while engaging churches for @BMECommunity. cc: @bethechange41 #sebalt
@,mezzoihnen,@BRMacJR - Agreed! They included three action labs in the last two sessions so people could create action items! Good idea #createbmore
@,mezzoihnen,"Hi Eddie! Went to #createbmore and am full of excitement “@edwelker: not sure what you're up to, but it sounds cool.”"
@,maryhassound,"I had a great time at #createbmore today. Met new people, got a great list of resources, and a *lot* of inspiration!"
@,RedLineNow,Awesome idea MT @AndrewHazlett: Keep money local use “B Note” at area businesses  http://t.co/6WlaWNdB #createbmore
@,mezzoihnen,"@cariperi - Cari, I didn't see you at #createbmore! Sorry to miss you!"
@,mezzoihnen,“@nikkijamesmedia: Young professionals conf for ELU is http://t.co/3Ce2BnbL! Philanthropic 5 grant info available soon! #createbmore”
@,mezzoihnen,"(Raises hand) me too! ""NoOrdnryCherry: @studioKAFI Yes! An artist stepping up to the plate for a #BmoreArt &amp; #BmoreTech colab! #createbmore”"
@,bethechange41,Had the best donuts everrr at #createbmore today. Ate like 3. Nom. Check out Hoehn's http://t.co/gn7OP5wt
@,alsnyder02,@prairieskygal @KKTrumpbour @mobtownblues @suitsandsoot i'd love to see it @ Pratt. have to reserve rooms 2-3+ months out. #createbmore
@,mezzoihnen,Agreed MT“@jessgartner: I use #createbmore as an annual benchmark. Current goals? Fears? On what &amp;w/ whom am I spending time/breath/energy?”
@,vanessul,"Bummed I only just found out about the awesome #createbaltimore social innovation event today...! Oh, well, next year. #createbmore"
@,jonathanjulian,A great CreateBaltimore sponsor. Sign up and get $10 off your first Uber ride! Redeem at http://t.co/pNh9uOpC. #createbmore
@,EvodieNgoy,"RT @bethechange41: Loved @EvodieNgoy s video ""golden tongues"" - beautiful. Check this girl s work out. #createbmore"
@,luckygirlmedia,RT @geo_rube: RT @wellmadedesign: RT @createbaltimore: 3 questions to think about before #createbmore http://t.co/qKTBZCpH
@,bethechange41,... So what if churches became open social hubs and incubators once more in bmore? We have so many church bldgs... #sebalt #createbmore
@,luckygirlmedia,"RT @CreateBaltimore: ""The gods will not save us"" @AndrewHazlett Creative power, not political power, will #createbmore"
@,bethechange41,"... ""Bc ideally churches are places where ppls needs are met - phys, spiritual, emotional"" #sebalt #createbmore"
@,luckygirlmedia,"RT @Sharon_Paley: #Baltimore, as a community, should be pushing for government transparency. - @MikeMakes #createbmore"
@,bethechange41,Why are churches ideal social and social change hubs? .... #sebalt #createbmore
@,dennisthecynic,"@SenBillFerg, meet @VenroyJuly - @RodneyCBurris and I met him today and he is the real deal. #createbmore"
@,luckygirlmedia,"RT @bethechange41: So it's decided: I &lt;3 Baltimore, unconference s and the social Ent comm. #sebalt #createbmore"
@,luckygirlmedia,"RT @bethechange41: Loved @EvodieNgoy s video ""golden tongues"" - beautiful. Check this girl s work out. #createbmore"
@,luckygirlmedia,RT @bethechange41: #createbmore takeaway: social Ents can est. financial partnerships w/ an est. 501c3 and apply for grants. #sebalt
@,luckygirlmedia,RT @bethechange41: Also thank you to @JohnsHopkins for donating your space for @CreateBaltimore's event today! #createbmore
@,bethechange41,Also thank you to @JohnsHopkins for donating your space for @CreateBaltimore's event today! #createbmore
@,Shaq_Brooks,RT @jessgartner: I'm always so proud of and impressed by @EvodieNgoy. She's so wise. #createbmore
@,bethechange41,"Loved @EvodieNgoy s video ""golden tongues"" - beautiful. Check this girl s work out. #createbmore"
@,bethechange41,#createbmore takeaway: social Ents can est. financial partnerships w/ an est. 501c3 and apply for grants. #sebalt
@,andrewcoy,RT @jessgartner: I'm always so proud of and impressed by @EvodieNgoy. She's so wise. #createbmore
@,bethechange41,"Lots of talk of churches as ideal social hub/collab spaces today, bc they are reliable and consistent spaces. #createbmore #sebalt"
@,bethechange41,"So it's decided: I &lt;3 Baltimore, unconference s and the social Ent comm. #sebalt #createbmore"
@,bethechange41,@Shaq_Brooks i appreciate a city rep coming out to #CreateBmore
@,bethechange41,Sorry for the double tweets! I am tired and mixed up my hash tags. #createbmore
@,bethechange41,Great day at #createbmore - now time to squeeze in a nap. Have fun at the after party wo me #fb
@,bethechange41,"RT @bethechange41: @LesterSpence glad u could join in our convo abt diversity, and many other important issues. #createbmore"
@,bethechange41,RT @bethechange41: I met dozens of amazing folks fr all fields today. #createbmore
@,luckygirlmedia,RT @flygirlblog: Was so happy to meet so many amazing people at @CreateBaltimore. Please keep in touch. #createbmore
@,Sharon_Paley,Friends of #createbmore check out @GovernorOMalley's crowdsourced art project built by students at @DHFBaltimore. http://t.co/XCllEKCX
@,jamesnovak,some excellent discussions all around today at #createbmore ... definitely looking forward to more!
@,specialLi1972,"How do you get right ro use it? RT ""Made in Baltimore logo Rt @KKTrumpbour: #createbmore logo at http://t.co/ba3zxbxc"""
@,flygirlblog,Was so happy to meet so many amazing people at @CreateBaltimore. Please keep in touch. #createbmore
@,BRMacJR,Leave some room for action “@AndrewHazlett: Wrap up presentations at #createbmore - tired but motivated http://t.co/VAlPBcnV”
@,bethechange41,"Agreed! RT @lrenhrda RT @SJ843: ""This is the best $15 I've ever spent!"" - @CreateBaltimore participant #createbmore"
@,bethechange41,RT @lrenhrda RT @AndrewHazlett: Wrap up presentations at #createbmore - tired but motivated @ CreateBaltimore 3 http://t.co/PD4g0jh2 #fb
@,technicallyBMR,RT @kbladow: Made in Baltimore logo Rt @KKTrumpbour: #createbmore logo at http://t.co/BFVDAwbn
@,lrenhrda,RT @AndrewHazlett: Wrap up presentations at #createbmore - tired but motivated @ CreateBaltimore 3 http://t.co/rdcGHXn1
@,lrenhrda,"RT @SJ843: ""This is the best $15 I've ever spent!"" - @CreateBaltimore participant #createbmore"
@,lrenhrda,"Anyone interested in discussing the historical ""mapazine"" of Bmore further and maybe getting some hands dirty, let me know! #createbmore"
@,TheGoodPlan,Just went to sweep all the classrooms and found them spotless. Thank you #createbmore participants!
@,SJ843,This is the best $15 I've ever spent! - @CreateBaltimore participant #createbmore
@,Shaq_Brooks,I really enjoyed this event! this was my 2nd time attending @CreateBaltimore #createbmore
@,Shaq_Brooks,RT @AndrewHazlett: Wrap up presentations at #createbmore - tired but motivated @ CreateBaltimore 3 http://t.co/rdcGHXn1
@,Shaq_Brooks,RT @AndrewHazlett: April 5-7 @reinventtransit is coming to @betamore - help make solutions http://t.co/Jf3MG9jD #CreateBmore
@,MonoChz,#createbmore afterparty! (@ Maxie's Pizza Bar &amp; Grille) [pic]: http://t.co/0RbAkySY
@,GiveCorps,RT @WhatWeekly: @CreateBaltimore show your support for higher achieving city students! http://t.co/e4JaJdC4 @genero_city #createbmore
@,ElizabethEadie,"RT @jonathanjulian: Brand your effort as ""Made with love in Baltimore"" - link to this #createbmore http://t.co/WK2Lb2nh"
@,Peter_M_Jackson,@mobtownblues We need to find more creative ways to look beyond limited traditional funding + resources #npocomplex #createbmore #notgriping
@,BaltimoreYDS,"RT @mobtownblues: Anyone from #createbmore who'd like to talk more about the ""nonprofit-industrial complex"" &amp; wants to do more than  ..."
@,geo_rube,"RT @Sharon_Paley: #Baltimore, as a community, should be pushing for government transparency. - @MikeMakes #createbmore"
@,justine_fritz,"RT @jonathanjulian: Brand your effort as ""Made with love in Baltimore"" - link to this #createbmore http://t.co/WK2Lb2nh"
@,DavidMTaylor,"#CreateBMore 2013 wraps up... Great experience, lots of folks with ideas and q love of Baltimore! http://t.co/yY8Ey5Q2"
@,suitsandsoot,"Good day at #createbmore. Met dozens of awesome people. But, I'm an introvert, so it's time to go sit quietly on my couch. Thanks to all!"
@,cupakromer,"RT @jonathanjulian: Brand your effort as ""Made with love in Baltimore"" - link to this #createbmore http://t.co/WK2Lb2nh"
@,EvodieNgoy,"RT @Sharon_Paley: ""Words build us and words break us."" - @EvodieNgoy #createbmore"
@,AndrewHazlett,"“We shape the world with our tongues.”  The words we use matter, says the brilliant young Evodie Ngoy - perfect note for #createbmore end"
@,MICA_MASD,What if companies operated out of high schools in the summer? Students have access to real work/new fields. 16yrold's proposal #createbmore
@,JessieX,Big thanks to @JohnsHopkins for donating space today for #createbmore.
@,davetroy,"RT @Sharon_Paley: ""Build a good world one word at a time."" - @EvodieNgoy #createbmore"
@,EvodieNgoy,"RT @Sharon_Paley: ""Build a good world one word at a time."" - @EvodieNgoy #createbmore"
@,suitsandsoot,"RT @Sharon_Paley: ""Words build us and words break us."" - @EvodieNgoy #createbmore"
@,mobtownblues,RT @datkidCarpeDiem: @CreateBaltimore #CreateBmore Made In Baltimore logo http://t.co/2VL2roaQ
@,jonathanjulian,"Brand your effort as ""Made with love in Baltimore"" - link to this #createbmore http://t.co/WK2Lb2nh"
@,Sharon_Paley,Build a good world one word at a time. - @EvodieNgoy #createbmore
@,TheGoodPlan,RT @KKTrumpbour: #createbmore here's a link to @ElizabethEadie logo http://t.co/TRsw4ncy
@,TheGoodPlan,Our tongues have been gifted. What will you say? #createbmore
@,Sharon_Paley,Words build us and words break us. - @EvodieNgoy #createbmore
@,datkidCarpeDiem,@CreateBaltimore #CreateBmore Made In Baltimore logo http://t.co/2VL2roaQ
@,wellmadedesign,RT @KKTrumpbour: #createbmore here's a link to @ElizabethEadie logo http://t.co/TRsw4ncy
@,ElizabethEadie,RT @KKTrumpbour: #createbmore here's a link to @ElizabethEadie logo http://t.co/TRsw4ncy
@,LinesBetweenUs,"RT @mobtownblues: Anyone from #createbmore who'd like to talk more about the ""nonprofit-industrial complex"" &amp; wants to do more than  ..."
@,suitsandsoot,"Multiple calls for asset mapping today. This stuff has to be out there already, right? #createbmore"
@,jessgartner,@RDFoxworth - @scottmessinger and I spent the day scheming. We have much to discuss. #createbmore #evilplans
@,AndrewHazlett,RT @KKTrumpbour: #createbmore here's a link to @ElizabethEadie logo http://t.co/TRsw4ncy
@,SargeSalman,RT @kbladow: Made in Baltimore logo Rt @KKTrumpbour: #createbmore logo at http://t.co/BFVDAwbn
@,Tygemstones,RT @wellmadedesign: RT @createbaltimore: 3 questions to think about before #createbmore http://t.co/JG82PxWi sparked by @MayorSRB's Stat ...
@,KKTrumpbour,#createbmore here's a link to @ElizabethEadie logo http://t.co/TRsw4ncy
@,kbladow,Made in Baltimore logo Rt @KKTrumpbour: #createbmore logo at http://t.co/BFVDAwbn
@,Sharon_Paley,"Put ""Made with &lt;3 in Baltimore"" on everything made in #Baltimore! Go to http://t.co/cCdcsMM6 created by @ElizabethEadie. #createbmore"
@,KKTrumpbour,#createbmore logo at http://t.co/xgK5Hq3U
@,Sharon_Paley,Classroom companies companies operate out of a school for the summer giving kids a new opportunity to learn. via @DonTAbrams #createbmore
@,mobtownblues,"Haha. RT @datkidCarpeDiem: @CreateBaltimore #CreateBmore ""if you sit on your ideas, the chair falls through eventually"""
@,jeedgan,Classroom corporations summer program #bestidea #createbmore
@,suitsandsoot,Empower citizens w/info to fight own battles! RT @Sharon_Paley: we should be pushing for government transparency. - @MikeMakes #createbmore
@,NoOrdnryCherry,I found interactive #publicart by @maryhassound at @CreateBaltimore! #createbmore http://t.co/Pl2pl52F
@,RedLineNow,Great idea MT @AndrewHazlett: Direct action to improve toughest neighborhoods via 6th Branch in Oliver  http://t.co/eVqdWBYz #CreateBmore
@,SargeSalman,".@mobtownblues! ""@datkidCarpeDiem: @CreateBaltimore #CreateBmore ""if you sit on your ideas, the chair falls through eventually"""""
@,TheGoodPlan,RT @jessgartner: I use #createbmore as an annual benchmark/check-in for myself. Current goals? Fears? On what and with whom am I spendin ...
@,TheGoodPlan,"RT @mobtownblues: Aw shit, I just broke Johns Hopkins. #createbmore http://t.co/4Iv7W7xa"
@,Sharon_Paley,"Need free areas where ""illegal artists"" can express themselves legally. #createbmore"
@,pandora13,RT @AndrewHazlett: Concern about the “non-profit industrial complex” and its inertia and consolidation of power #CreateBmore
@,mobtownblues,"Aw shit, I just broke Johns Hopkins. #createbmore http://t.co/4Iv7W7xa"
@,BaltimoreBStore,"@laurenbot3k Thanks, I thought ""Evil Plans 2013"" was by far my favorite session at #CreateBMore."
@,Sharon_Paley,"#Baltimore, as a community, should be pushing for government transparency. - @MikeMakes #createbmore"
@,jessgartner,I use #createbmore as an annual benchmark/check-in for myself. Current goals? Fears? On what and with whom am I spending time/breath/energy?
@,datkidCarpeDiem,"@CreateBaltimore #CreateBmore ""if you sit on your ideas, the chair falls through eventually"""
@,KKTrumpbour,@prairieskygal @mobtownblues @suitsandsoot @asnyder02 @prattlibrary nice thought! #createbmore
@,prairieskygal,@KKTrumpbour @mobtownblues @suitsandsoot @asnyder02 Wonder if @prattlibrary would host next #createbmore? More public agency peeps may show.
@,laurenbot3k,Hope @davetroy will share his nifty mapping of nonprofit relationships (or lack thereof) in follow up materials #CreateBmore
@,jedweeks,@mobtownblues me too #createbmore
@,BiotechMd,"RT @CreateBaltimore: ""The gods will not save us"" @AndrewHazlett Creative power, not political power, will #createbmore"
@,Peter_M_Jackson,@scottburkholder Nice shirt! #createbmore #philanthropist @GiveCorps http://t.co/SV6AKC2B
@,Sharon_Paley,How do you connect artists to a buying public? #createbmore
@,MICA_MASD,Design is really an exercise in empathy #createbmore
@,NoOrdnryCherry,Just interviewed by @EliotPearson Jr of @wideangleym on where I see #Baltimore in 5 years. Total professional! #createbmore
@,RDFoxworth,"RT @mobtownblues: Anyone from #createbmore who'd like to talk more about the ""nonprofit-industrial complex"" &amp; wants to do more than  ..."
@,copd63,RT @JohnsHopkins: RT @technicallyBMR: The HUT at @johnshopkins. #createbmore http://t.co/jrQgMvk0
@,rsteggy,@mobtownblues I'd love to be a part of that constructive (or destructive?) conservation about the nonprofit-industrial complex #createbmore
@,AndrewHazlett,Wrap up presentations at #createbmore - tired but motivated @ CreateBaltimore 3 http://t.co/rdcGHXn1
@,swampyyyyy,"RT @SargeSalman: A casualty of #unconference ""@nikkijamesmedia: We had an anarchy session today, but democracy broke out! #createbmore"""
@,BaltimoreBStore,"RT @nikkijamesmedia: We had an anarchy session today, but democracy broke out! #createbmore"
@,jedweeks,Anyone talking about helmet law and how bike share will be killed? @MonoChz  #createbmore
@,KKTrumpbour,@lrenhrda thank you Lauren! #createbmore
@,nikkijamesmedia,Young professionals conference for ELU is http://t.co/qSxHoSRJ NOT .com! Philanthropic 5 grant info available soon! #createbmore
@,studioKAFI,@CreateBaltimore thanks for a great day. Non tech people need more help. I hash tagged #createbaltimore instead of #createbmore  #artist
@,laurenbot3k,Thx @BaltimoreBstore for summarizing exactly what was good abt Evil Plans session. Would love to attend a longer pitch session #CreateBmore
@,lrenhrda,"For those at the closing session, here’s my notes from the “EVIL PLANS” session. Muahahahaha! http://t.co/z9nRqGVh #createbmore"
@,BaltimoreBStore,@DaveTroy and @ScottBurkholder lead a wrap-up after the sessions at #CreateBMore http://t.co/Oh032RxB
@,SargeSalman,"A casualty of #unconference ""@nikkijamesmedia: We had an anarchy session today, but democracy broke out! #createbmore"""
@,Sharon_Paley,Unconferences should have a dedicated pitch breakout and the rest of the sessions are about ideas. Great idea out of #createbmore..
@,prairieskygal,Great strategy for making your good ideas happen! By @ericakochi via TechCrunch #createbmore http://t.co/CXAvby9N
@,KKTrumpbour,@mobtownblues @suitsandsoot Good idea #createbmore @senbillferg shouldn't have to pull all the weight for the public sector at this joint :)
@,SargeSalman,"RT @mobtownblues: Anyone from #createbmore who'd like to talk more about the ""nonprofit-industrial complex"" &amp; wants to do more than  ..."
@,BaltimoreBStore,"#CreateBMore works to help define the narrative of Baltimore as a city.  One obstinate suggestion, ""Yeah, Baltimore"" http://t.co/K5LA3C72"
@,alsnyder02,"@prairieskygal hey now, I'd be there  if I cd. I need a min 6-8 weeks notice for wknd events  #publicservicejob @mobtownblues #CreateBmore"
@,ElizabethEadie,RT @jeedgan: What happened with anarchy....?  democracy broke out. #createbmore
@,AndrewHazlett,"RT @mobtownblues: Anyone from #createbmore who'd like to talk more about the ""nonprofit-industrial complex"" &amp; wants to do more than  ..."
@,ElizabethEadie,"RT @mobtownblues: Anyone from #createbmore who'd like to talk more about the ""nonprofit-industrial complex"" &amp; wants to do more than  ..."
@,mobtownblues,"Anyone from #createbmore who'd like to talk more about the ""nonprofit-industrial complex"" &amp; wants to do more than gripe, I'm interested."
@,AndrewHazlett,"RT @lrenhrda: OH ""Democracy broke out."" #createbmore"
@,datkidCarpeDiem,"RT @lrenhrda: OH ""Democracy broke out."" #createbmore"
@,AndrewHazlett,An “interesting” conversation happened in the digital divide/racial segregation session #createbmore
@,jeedgan,What happened with anarchy....?  democracy broke out. #createbmore
@,nikkijamesmedia,"We had an anarchy session today, but democracy broke out! #createbmore"
@,lrenhrda,"OH ""Democracy broke out."" #createbmore"
@,AndrewHazlett,Concern about the “non-profit industrial complex” and its inertia and consolidation of power #CreateBmore
@,MonoChz,#createbmore bikeshare chat @ Johns Hopkins University Remsen Hall http://t.co/kurF3rAE
@,prairieskygal,@mobtownblues @suitsandsoot Likewise in the library. Was met entirely with blank stares and crickets. #CreateBmore
@,AndrewHazlett,Teen robot engineers should not have to work “on the down low” #createbmore
@,KKTrumpbour,@suitsandsoot @mobtownblues I wonder if we could recruit a city council person as a #createbmore ambassador.
@,NoOrdnryCherry,@studioKAFI Yes! An artist stepping up to the plate for a #BmoreArt &amp; #BmoreTech colab event! #createbmore
@,AndrewHazlett,"“@Sharon_Paley: Closing session of @createbaltimore. Ed Mullin discusses making Baltimore ""robot city."" http://t.co/Pj0JqDQ0” #CreateBmore"
@,davetroy,RT @Peter_M_Jackson: . @HLMS firehouse rehab to include culinary incubator + coworking space #createbmore cc @davetroy
@,AndrewHazlett,.@eliotpearson: Reviewing the sessions at #createbmore http://t.co/UzEX86JY”
@,mobtownblues,"@suitsandsoot It's frustrating; I've pimped #createbmore w/in the foundation community for years, to no avail."
@,davetroy,RT @AndrewHazlett: April 5-7 @reinventtransit is coming to @betamore - help make solutions http://t.co/Jf3MG9jD #CreateBmore
@,davetroy,RT @DaveLandymore: #CreateBmore #Bmore narrative session: How to get away from The Wire stigma? Even The Wire isn't The Wire anymore! Ge ...
@,AndrewHazlett,April 5-7 @reinventtransit is coming to @betamore - help make solutions http://t.co/Jf3MG9jD #CreateBmore
@,Peter_M_Jackson,. @HLMS firehouse rehab to include culinary incubator + coworking space #createbmore cc @davetroy
@,nikkijamesmedia,"I learned lots, but 7 hours later I finally learned the meaning of the hipster word ""hackathon."" Retiring the word now. #createbmore"
@,suitsandsoot,RT @DaveLandymore: #CreateBmore #Bmore narrative session: How to get away from The Wire stigma? Even The Wire isn't The Wire anymore! Ge ...
@,BaltimoreBStore,@DaveTroy helped to set today's schedule for #CreateBMore http://t.co/MYFS1zRp
@,suitsandsoot,"On lack of participation from traditional civic leaders, @mobtownblues yes! I wrote that on my ""What did we miss?"" postcard! #createbmore"
@,maryhassound,"Watermelon phone, or whatever. #createbmore"
@,mobtownblues,"As usual, I'm disappointed by relative lack of representation at #createbmore from trad. civic leaders: foundations, biz, govt agencies, etc"
@,BaltimoreBStore,"@SargeSalman #CreateBMore ..... ""Yeah, Baltimore"""
@,jessgartner,".@CreateBaltimore marks the annual celebration of my wonderfully snarky, highly catalytic friendship with @scottmessinger! #createbmore"
@,SargeSalman,"RT @KKTrumpbour: #createbmore You HAVE to go get interviewed by Eliot at Remsen. Great idea from Tedx, great question, and awesome ancho ..."
@,SargeSalman,@DaveLandymore @suitsandsoot @davetroy Add narratives to your library of #Baltimore narratives! #createbmore
@,Peter_M_Jackson,RT @DaveLandymore: #CreateBmore #Bmore narrative session: How to get away from The Wire stigma? Even The Wire isn't The Wire anymore! Ge ...
@,SargeSalman,"Agreed ""@pandora13: #createbmore discussing baltimore's cultural inferiority complex.... And having pride in flaws and imperfection."""
@,DaveLandymore,#CreateBmore #Bmore narrative session: How to get away from The Wire stigma? Even The Wire isn't The Wire anymore! Get past it. // #OpOliver
@,SargeSalman,"@suitsandsoot @davetroy I like ""Yeah, Baltimore"" #createbmore"
@,TheGoodPlan,@davetroy wrap up ready #createbmore http://t.co/LNEA8l0p
@,SargeSalman,"RT @suitsandsoot: I vote, ""Get to know my Baltimore."" Emphasizes civic pride, challenges expectations. @SargeSalman @davetroy #createbmore"
@,swampyyyyy,#createbmore http://t.co/35uvNQjQ
@,Shaq_Brooks,RT @CreateBaltimore: Among the ways to stay connected with other #createbmore participants: dusting our facebook group https://t.co/UZlQTtut
@,suitsandsoot,"I vote, ""Get to know my Baltimore."" Emphasizes civic pride, challenges expectations. @SargeSalman @davetroy #createbmore"
@,mobtownblues,Johns Hopkins employee: campus cops tell JHU students at orientation not to stray out of the 2-mi. radius they police. Sigh. #createbmore
@,suitsandsoot,RT @pandora13: #createbmore discussing baltimore's cultural inferiority complex.... And having pride in flaws and imperfection.
@,nikkijamesmedia,Learning about public art like @ArticulateBalti #grafittialley and Open Walls. #createbmore
@,WhatWeekly,@CreateBaltimore show your support for higher achieving city students! http://t.co/hGeMDUiV @GiveCorps @genero_city #createbmore
@,Tygemstones,RT @CreateBaltimore: Among the ways to stay connected with other #createbmore participants: dusting our facebook group https://t.co/UZlQTtut
@,KKTrumpbour,@mobtownblues and this is why potluck storytelling rocks. :)  #createbmore
@,BaltimoreBStore,"#CreateBMore thinks maybe our narrative is ""Yeah, Baltimore"""
@,RedLineNow,"Regret that we're not going to make it to #createbmore after all, but happily following the twitter feed! See you next time, @AndrewHazlett"
@,SargeSalman,"And I'm grateful Kevin!""@mobtownblues: @kbladow @jessgartner My plan to keep mouth shut @ #createbmore is failing! Kick me when you see me."""
@,AndrewHazlett,RT @CreateBaltimore: Among the ways to stay connected with other #createbmore participants: dusting our facebook group https://t.co/UZlQTtut
@,CreateBaltimore,Among the ways to stay connected with other #createbmore participants: dusting our facebook group https://t.co/UZlQTtut
@,mobtownblues,@kbladow @jessgartner My plan to keep my mouth shut at #createbmore is failing spectacularly thus far. Be sure to kick me when you see me.
@,merriamiam,RT @MonoChz: Baltimore economics needs to stop being about tourists and start being about residents. #createbmore
@,nikkijamesmedia,Talking public art for social change with great minds like @scottburkholder at #createbmore
@,jeedgan,"I want to be helpful, but don't want to helpful everyday. #lighttouch #createbmore #moreaction"
@,CreateBaltimore,Action lab in 205 empty...feel free to take it over! #createbmore
@,MonoChz,Baltimore economics needs to stop being about tourists and start being about residents. #createbmore
@,KKTrumpbour,"#createbmore Found, this earring outside Krieger. On picnic table. http://t.co/LNzdsseD"
@,KKTrumpbour,"#createbmore You HAVE to go get interviewed by Eliot at Remsen. Great idea from Tedx, great question, and awesome anchorman. Go go go!!!"
@,rsteggy,I had a wonderful interview by a youth @tedxmidtlantic reporter from @wideangleym on where we see #bmore in 5 years #createbmore
@,pandora13,#createbmore discussing baltimore's cultural inferiority complex.... And having pride in flaws and imperfection.
@,suitsandsoot,"From @mobtownblues, Baltimore has a municipal inferiority complex coupled with intense civic pride. #communitynarrative #createbmore"
@,NoOrdnryCherry,RT @TheGoodPlan: Are you @CreateBaltimore and want to get interviewed by a youth @tedxmidtlantic reporter? Head to registration #createbmore
@,suitsandsoot,"Crafting a community narrative session: participants want one that's context-independent, a la Motor City, Big Apple. #createbmore"
